rows,System: System Name,Environment,Role,Fixed Asset: Fixed Asset  Name,Install Date,Service Start Date,Service End Date,Notes,OS Type,OS Version,Parent System,
1,att-1A-03-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
2,att-1B-03-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
3,att-1B-06-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
4,att-3B-05-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
5,att-3A-03-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
6,att-3B-05-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
7,att-3B-07-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
8,att-3A-05-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
9,att-3A-07-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
10,att-3A-05-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
11,att-1A-06-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
12,att-3B-03-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
13,att-3A-07-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
14,att-1B-03-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
15,att-1A-03-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
16,att-3B-07-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
17,rw-150-M2,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
18,rw-152-M2,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
19,rw-157-K1,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
20,rw-150-K1,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
21,rw-150-M1,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
22,rw-152-K2,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
1324,ipe-ls-02,IP East,Internal Switch,FDO1702X076,4/15/2013,4/15/2013,,,,,,
1325,ipe-br01,IP East,Boarder Router,FTX1706AKXV,4/15/2013,4/15/2013,,,,,,
1326,solarislab02-dc2,lab,db,BEL091653M,10/22/2013,10/22/2013,,,,,,
1327,raclab02n01-dc2,lab,rac,A1-24208,10/22/2013,10/22/2013,,,,,,
1328,emcswlab02-dc2,lab,storage,BRCUC060005464,10/22/2013,10/22/2013,,,,,,
1329,emcswlab01-dc2,lab,storage,BRCUC060004298,10/22/2013,10/22/2013,,,,,,
1330,raclab01n01-dc2,lab,rac,A1-24207,10/22/2013,10/22/2013,,,,,,
1331,solarislab01-dc2,lab,db,BEL0930G2W,10/22/2013,10/22/2013,,,,,,
1332,MPCDC2,MPC,domain controller,MX2913013F,,,,,,,,
1333,mpcbackup01,MPC,MPC Backup,A1-21448,4/20/2012,4/20/2012,,,Windows,2008,,
1334,dc01-mon-dbse-01,netops,SolarWinds DB,A1-15626,,,,,windows server,2008 enterprise,,
1335,dc01-mon-ncm,netops,SolarWinds App,A1-15625,,8/30/2012,,,windows server,2008 enterprise,,
1336,dc01-mon-npm,netops,SolarWinds NPM,A1-15624,,,,,windows server,2008 enterprise,,
1337,sj01-3800-ds3-a,PTP to DC2,NetOps OOB Switch,FTX1253A2K4,,,,,,,,
1338,sa01-00-qa1,qa1,db,bdl0943ec8,3/23/2012,3/23/2012,,,Solaris,,,
1339,datapub01-qa1,qa1,IDDP - datapub,A1-18376,6/23/2011,,,,,,,
1340,mysqlmeta01-qa1,qa1,IDDP - meta,A1-18387,6/23/2011,,,,,,,
1341,mysqlcache02-qa1,qa1,IDDP - cache,A1-17899,6/23/2011,,,,,,,
1342,mysqlcache01-qa1,qa1,IDDP - cache,A1-17925,6/23/2011,,,,,,,
1343,rac03n01-qa1,qa1,RAC,A1-20553,5/19/2011,,,,Redhat,5.6,,
1344,rac03n02-qa1,qa1,RAC,A1-20555,5/19/2011,,,,Redhat,5.6,,
1345,launch04-qa1,qa1,launch,A1-28473,7/17/2013,7/17/2013,,,Centos,,,
1346,listener01-qa1,qa1,SMS listener,A1-30009,12/4/2013,12/4/2013,,,,,,
1347,pubweb02-qa1,qa1,pubweb,A1-22427,6/7/2012,6/7/2012,,,Centos,6.2,,
1348,launch03-qa1,qa1,launch,A1-22425,6/7/2012,6/7/2012,,,Centos,6.2,,
1349,apacheui02-qa1,qa1,apache ui,A1-22430,6/7/2012,6/7/2012,,,Centos,6.2,,
1350,ui03-qa1,qa1,ui,A1-22453,6/7/2012,6/7/2012,,,Centos,6.2,,
1351,eventcapture03-qa1,qa1,eventcapture,A1-22463,6/7/2012,6/7/2012,,,Centos,6.2,,
1352,rac04n01-qa1,qa1,rac,A1-23637,9/27/2012,9/27/2012,,,,,,
1353,rac04n02-qa1,qa1,rac,A1-23633,9/27/2012,9/27/2012,,,,,,
1354,icr02-qa1,qa1,icr,A1-21696,10/31/2012,10/31/2012,,,,,,
1355,gateway01-qa1,qa1,SMS gateway,A1-28871,12/4/2013,12/4/2013,,,,,,
1356,spam01-qa1,qa1,spam,P1238100565,,,,,,,,
1357,bounce01-qa1,qa1,bounce,P1704513,,,,,,,,
1358,pubweb01-qa1,qa1,pubweb,P1704534,,,,,,,,
1359,eventcapture02-qa1,qa1,eventcapture,P1704530,,,,,,,,
1360,eventcapture01-qa1,qa1,eventcapture,P1704522,,,,,,,,
1361,launch02-qa1,qa1,launch,P1704524,,,,,,,,
1362,launch01-qa1,qa1,launch,P1704536,,,,,,,,
1363,dsp01-qa1,qa1,ui,P1704535,,,,,,,,
1364,team01-qa1,qa1,team,P1704255,,,,,,,,
1365,ui01-qa1,qa1,ui,P1704258,,,,,,,,
1366,dca01-qa1,qa1,dca,P1704804,5/23/2012,5/23/2012,,,Centos,,,
1367,admin01-qa1,qa1,admin,P1704257,,,,,,,,
1368,apacheui01-qa1,qa1,apache,P1704260,5/23/2012,5/23/2012,,,,,,
1369,mta01-qa1,qa1,mta,P1704256,,,,,,,,
1370,reportingdb01-qa1,qa1,ReportingDB,MXQ94303TB,,,,,windows server,2008 enterprise,,
1371,sa02-00-qa1,qa1,db,BDL0945053,4/18/2011,,,,,,,
1372,reportingdb02-qa1,qa1,ReportingDB,A1-15702,,,,,windows server,2008 enterprise,,
1373,etl02-qa1,qa1,etl,P1704521,,,,,,,,
1374,etl01-qa1,qa1,etl,P1704516,,,,,,,,
1375,downtime01-qa1,qa1,downtime,A1-15674,,,,,,,,
1376,reporting02-aq1,qa1,reporting,P1704532,,,,,,,,
1377,reporting01-qa1,qa1,reporting,P1704527,,,,,,,,
1378,ws01-qa1,qa1,ws,P1704528,,,,,,,,
1379,tools02-qa1,qa1,tools,P1704529,,,,,,,,
1380,tools01-qa1,qa1,tools,P1704803,7/6/2011,,,,,,,
1381,icr03-qa1,qa1,icr,A1-22450,11/12/2012,11/12/2012,,,,,,
1382,icr01-qa1,qa1,icr,A1-24656,7/6/2012,7/6/2012,,was on A1-22425,Centos,6.2,,
1383,mysqlcms02-qa1,qa1,icr db,A1-22413,7/6/2012,7/6/2012,,,Centos,6.2,,
1384,dca02-qa1,qa1,dca,A1-28479,7/17/2013,7/17/2013,,,Centos,,,
1385,reportingdb03-qa1,qa1,reportingDB,A1-26953,7/2/2013,7/2/2013,,,Windows Server,,,
1386,reportingdb04-qa1,qa1,reportingDB,A1-26935,7/2/2013,7/2/2013,,,Windows Server,,,
1387,mysqlcms01-qa1,qa1,icr db,A1-21700,6/8/2012,6/8/2012,,,,,,
1388,sa02-00-qa2,qa2,db,bdl0945056,4/18/2011,,,,,,,
1389,sa01-00-qa2,qa2,db,BDL10337DD,3/9/2012,,,,,,,
1390,mailscan01-uber,qa2,mailscan,P1704792,,,,,,,,
1391,dca01-qa2,qa2,spare,P1704791,10/28/2011,,,,,,,
1392,reportingdb02-qa2,qa2,ReportingDB,P1704533,,,,,windows server,2008 enterprise,,
1393,mysqlcms01-qa2,qa2,icr db,A1-22422,10/18/2011,7/25/2012,,,,,,
1394,etl02-qa2,qa2,etl,P1704794,11/15/2011,,,,,,,
1395,reporting01-qa2,qa2,reporting,P1704793,11/15/2011,,,,,,,
1396,etl01-qa2,qa2,etl,P1704783,11/15/2011,,,,,,,
1397,reporting02-qa2,qa2,reporting,P1704790,11/15/2011,,,,,,,
1398,ws01-qa2,qa2,ws,P1704796,11/15/2011,,,,,,,
1399,tools02-qa2,qa2,tools,P1704784,11/15/2011,,,,,,,
1400,tools01-qa2,qa2,tools,P1704801,11/15/2011,,,,,,,
1401,spam01-qa2,qa2,spam,P1238100511,11/15/2011,,,,,,,
1402,reportingdb01-qa2,qa2,ReportingDB,A1-15733,,2/4/2014,,was on MXQ94102SM,windows server,2008 enterprise,,
1403,ui01-qa2,qa2,ui,P1704517,11/15/2011,,,,,,,
1404,downtime01-qa2,qa2,downtime,P1704523,11/15/2011,,,,,,,
1405,team01-qa2,qa2,team,P1704515,11/15/2011,,,,,,,
1406,admin01-qa2,qa2,admin,P1704514,11/15/2011,,,,,,,
1407,apacheui01-qa2,qa2,apache,P1704519,9/30/2011,,,,,,,
1408,mta01-qa2,qa2,mta,P1704520,11/15/2011,,,,,,,
1409,dsp01-qa2,qa2,ui,P1704786,11/15/2011,,,,,,,
1410,eventcapture02-qa2,qa2,eventcapture,P1704787,11/15/2011,,,,,,,
1411,launch02-qa2,qa2,launch,P1704795,11/15/2011,,,,,,,
1412,launch01-qa2,qa2,launch,P1704798,11/15/2011,,,,,,,
1413,pubweb01-qa2,qa2,pubweb,P1704526,11/15/2011,11/15/2011,,,,,,
1414,eventcapture01-qa2,qa2,eventcapture,P1704797,11/15/2011,,,,,,,
1415,bounce01-qa2,qa2,bounce,P1704789,11/15/2011,,,,,,,
1416,launch03-qa2,qa2,launch,A1-15708,,,,,,,,
1417,pubweb02-qa2,qa2,pubweb,A1-15714,,,,,,,,
1418,listener01-qa2,qa2,listener,A1-20554,10/25/2013,10/25/2013,,,,,,
1419,reportingdb04-qa2,qa2,reportingdb,A1-28660,8/7/2013,8/7/2013,,,Windows,,,
1420,reportingdb03-qa2,qa2,reportingdb,A1-28661,8/7/2013,8/7/2013,,,Windows,,,
1421,rac01n01-qa2,qa2,rac,A1-24202,10/11/2012,10/11/2012,,,,,,
1422,apacheui02-qa2,qa2,apacheui,A1-22411,1/9/2013,1/9/2013,,,6.3,Centos,,
1423,launch04-qa2,qa2,launch,A1-22455,1/9/2013,1/9/2013,,,6.3,Centos,,
1424,pubweb03-qa2,qa2,pubweb,A1-22406,1/9/2013,1/9/2013,,,6.3,Centos,,
1425,rac01n02-qa2,qa2,rac,A1-24199,10/11/2012,10/11/2012,,,,,,
1426,datapub01-qa2,qa2,IDDP - datapub,A1-15676,8/23/2011,,,,,,,
1427,mysqlcache02-qa2,qa2,IDDP - cache,A1-15719,8/23/2011,,,,,,,
1428,mysqlcache01-qa2,qa2,IDDP - cache,A1-15685,8/23/2011,,,,,,,
1429,mysqlmeta01-qa2,qa2,IDDP - meta,A1-15696,8/23/2011,,,,,,,
1430,mysqlcms02-qa2,qa2,icr db,A1-22457,7/25/2012,7/25/2012,,,,,,
1431,icr01-qa2,qa2,icr,A1-22435,7/25/2012,7/25/2012,,,,,,
1432,dca02-qa2,qa2,dca,A1-28474,7/17/2013,7/17/2013,,,Centos,,,
1433,eventcapture03-qa2,qa2,eventcapture,A1-22472,1/9/2013,1/9/2013,,,6.3,Centos,,
1434,ui03-qa2,qa2,ui,A1-22466,1/9/2013,1/9/2013,,,6.3,Centos,,
1435,gateway01-qa2,qa2,gateway,A1-18377,10/25/2013,10/25/2013,,,,,,
1436,airbat,ri1,MYSQLADMIN,P1237060358,,,,,,,,
1437,flamberge,ri1,MYSQLADMIN,P1236050034,,,,,,,,
1438,ranseur,ri1,response,P1236030356,,,,,,,,
1439,rac05n04-ri2,ri2,rac,USE203SK75,3/8/2012,3/8/2012,,,Red Hat,5.6,,
1440,rac05n03-ri2,ri2,RAC,USE203SK7K,3/21/2012,3/21/2012,,,Red Hat,5.6,,
1441,rac05n02-ri2,ri2,RAC,USE203SK7V,2/9/2012,2/9/2012,,,Red Hat,5.6,,
1442,rac05n01-ri2,ri2,RAC,USE203SK77,3/8/2012,3/8/2012,,,Red Hat,5.6,,
1443,icr06-ri2,ri2,icr,A1-26921,4/22/2013,4/22/2013,,,Centos,6.3,,
1444,rac02n02-ri2,ri2,rac,MXQ2420FJ0,3/27/2013,3/27/2013,,,RedHat,5.6,,
1445,icr04-ri2,ri2,icr,A1-26920,4/22/2013,4/22/2013,,,Centos,6.3,,
1446,icr05-ri2,ri2,icr,A1-26919,4/22/2013,4/22/2013,,,Centos,6.3,,
1447,rac02n01-ri2,ri2,rac,MXQ2420FJ2,3/27/2013,3/27/2013,,,RedHat,5.6,,
1448,mysqlcms02-ri2,ri2,icr db,A1-23695,9/4/2012,9/4/2012,,,,,,
1449,mysqlcms01-ri2,ri2,icr db,A1-23694,9/4/2012,9/4/2012,,,,,,
1450,icr03-ri2,ri2,icr,A1-23690,9/4/2012,9/4/2012,,,,,,
1451,icr02-ri2,ri2,icr,A1-23691,9/4/2012,9/4/2012,,,,,,
1452,icr01-ri2,ri2,icr,A1-23689,9/4/2012,9/4/2012,,,,,,
1453,reportingdb07-ri2,ri2,reportingDB,A1-27842,5/30/2013,5/30/2013,,,Windows Server,2003,,
1454,rac04n03-ri2,ri2,RAC,MXQ3180DW8,6/26/2013,6/26/2013,,,Red Hat,5.6,,
1455,launch66-ri2,ri2,launch,A1-22810,7/16/2012,7/16/2012,,,Centos,6.2,,
1456,launch60-ri2,ri2,launch,A1-22811,6/14/2012,6/14/2012,,,Centos,6.2,,
1457,rac05n05-ri2,ri2,RAC,USE203SK7P,11/26/2013,11/26/2013,,,Red Hat,5.6,,
1458,aerospike01-ri2,ri2,ShortURL,A1-30020,12/3/2013,12/3/2013,,,,,,
1459,mysqlcache02-ri2,ri2,IDDP,A1-30002,12/4/2013,12/4/2013,,,,,,
1460,datapub01-ri2,ri2,IDDP,A1-30008,12/4/2013,12/4/2013,,,,,,
1461,mysqlmeta03-ri2,ri2,IDDP,A1-24828,12/4/2013,12/4/2013,,,,,,
1462,mysqlcache01-ri2,ri2,IDDP,A1-30001,12/4/2013,12/4/2013,,,,,,
1463,mysqlmeta02-ri2,ri2,IDDP,A1-24826,12/4/2013,12/4/2013,,,,,,
1464,etl06-ri2,ri2,etl,P1704125,7/30/2012,7/30/2012,,,Centos,5.6,,
1465,etl05-ri2,ri2,etl,P1704124,7/25/2012,7/25/2012,,,Centos,5.6,,
1466,etl04-ri2,ri2,etl,A1-15654,7/25/2012,7/25/2012,,,Centos,5.6,,
1467,launch68-ri2,ri2,launch (superbad),A1-23635,9/26/2013,9/26/2013,,,,,,
1468,eventcapture13-ri2,ri2,eventcapture,A1-28612,8/15/2013,8/15/2013,,,,,,
1469,reportingdb10-ri2,ri2,reportingdb,A1-28916,8/23/2013,8/23/2013,,,,,,
1470,listener01-ri2,ri2,listener,A1-28868,10/21/2013,10/21/2013,,,,,,
1471,launch70-ri2,ri2,launch (superbad),A1-23636,9/26/2013,9/26/2013,,,,,,
1472,etl02-ri2,ri2,etl,A1-23696,8/5/2013,8/5/2013,,,,,,
1473,reportingdb12-ri2,ri2,reportingdb,A1-28917,8/23/2013,8/23/2013,,,,,,
1474,gateway01-ri2,ri2,gateway,A1-28884,10/21/2013,10/21/2013,,,,,,
1475,launch72-ri2,ri2,launch (superbad),A1-23709,9/26/2013,9/26/2013,,was on A1-24204,,,,
1476,launch56-ri2,ri2,launch,A1-19321,8/15/2013,8/15/2013,,,,,,
1477,reportingdb09-ri2,ri2,reportingdb,A1-28913,8/23/2013,8/23/2013,,,,,,
1478,sa24-00-ri2,ri2,db,BEL09122UB,7/17/2012,7/17/2012,,,Solaris,,,
1479,sa30-00-ri2,ri2,db,BEL0823LUT,7/17/2012,7/17/2012,,,Solaris,,,
1480,sa25-00-ri2,ri2,db,BEL0916542,7/17/2012,7/17/2012,,,Solaris,,,
1481,sa31-00-ri2,ri2,db,BEL09154R6,7/17/2012,7/17/2012,,,Solaris,,,
1482,etl07-ri2,ri2,etl,P1705896,9/27/2013,9/27/2013,,,,,,
1483,launch75-ri2,ri2,launch superbad,A1-29432,10/15/2013,10/15/2013,,,Centos,6.3,,
1484,launch77-ri2,ri2,launch superbad,A1-29437,10/15/2013,10/15/2013,,,Centos,6.3,,
1485,launch73-ri2,ri2,launch superbad,A1-29433,10/15/2013,10/15/2013,,,Centos,6.3,,
1486,aerospike02-ri2,ri2,ShortURL,A1-30021,12/3/2013,12/3/2013,,,,,,
1487,mysqlmeta01-ri2,ri2,IDDP,A1-24827,12/4/2013,12/4/2013,,,,,,
1488,launch74-ri2,ri2,launch superbad,A1-29436,10/15/2013,10/15/2013,,,Centos,6.3,,
1489,datapub02-ri2,ri2,IDDP,A1-30009,12/4/2013,12/4/2013,,,,,,
1490,launch76-ri2,ri2,launch superbad,A1-29434,10/15/2013,10/15/2013,,,Centos,6.3,,
1491,aerospike03-ri2,ri2,ShortURL,A1-30022,12/3/2013,12/3/2013,,,,,,
1492,sa11-00-ri2,ri2,database,BDL0951777,,,,,,,,
1493,pdu-dc01-211-1/b,ri2,,ABLU0000062,5/17/2011,,,,,,,
1494,pdu-dc01-211-1/a,ri2,,ABHE0000217,5/17/2011,,,,,,,
1495,pdu-dc01-210-1/b,ri2,,adtg0000026,,,,,,,,
1496,pdu-dc01-210-1/a,ri2,,adtg0000026,,,,,,,,
1497,pdu-dc01-205-1/b,ri2,,acbb0000323,,,,,,,,
1498,pdu-dc01-205-1/a,ri2,,pcan0000581,,,,,,,,
1499,pdu-dc01-205-2/b,ri2,,acbb0000414,,,,,,,,
1500,pdu-dc01-205-2/a,ri2,,pcan0000572,,,,,,,,
1501,downtime04-ri2,ri2,downtime,P1705410,,,,,,,,
1502,eventcapture09-ri2,ri2,eventcapture,A1-15618,,,,,,,,
1503,eventcapture07-ri2,ri2,eventcapture,A1-15602,,,,,,,,
1504,connect04-ri2,ri2,connect,P1705381,,,,,,,,
1505,reporting03-ri2,ri2,reporting,P1705386,,,,,,,,
1506,launch34-ri2,ri2,launch,A1-15638,,,,,,,,
1507,launch31-ri2,ri2,launch,A1-15634,,,,,,,,
1508,apacheui03-ri2,ri2,apacheui,P1703993,,,,was on P1705402,,,,
1509,ws04-ri2,ri2,ws,P1705404,,,,,,,,
1510,dca02-ri2,ri2,dca,P1705407,5/17/2011,,,,,,,
1511,launch16-ri2,ri2,launch,P1705417,,,,,,,,
1512,launch14-ri2,ri2,launch,P1705412,,,,,,,,
1513,launch11-ri2,ri2,launch,P1705416,,,,,,,,
1514,launch08-ri2,ri2,launch,P1705421,,,,,,,,
1515,pubweb19-ri2,ri2,pubweb,A1-15610,,,,,,,,
1516,pubweb11-ri2,ri2,pubweb,P1705392,,,,,,,,
1517,pubweb08-ri2,ri2,pubweb,A1-21782,,,,,,,,
1518,apacheui12-ri2,ri2,apache,P1705393,,,,,,,,
1519,apacheui09-ri2,ri2,apacheui,P1705397,,,,,,,,
1520,pdu-dc01-204-1/b,ri2,,acbb0000146,,,,,,,,
1521,pdu-dc01-204-1/a,ri2,,acan0000776,9/29/2011,,,,,,,
1522,pdu-dc01-204-2/b,ri2,,acbb0000415,,,,,,,,
1523,pdu-dc01-204-2/a,ri2,,pcan0000582,9/29/2011,,,,,,,
1524,downtime03-ri2,ri2,downtime,P1705408,,,,,,,,
1525,apacheui08-ri2,ri2,apacheui,A1-16284,11/14/2011,,,,,,,
1526,apacheui06-ri2,ri2,apacheui,A1-16289,11/14/2011,,,,,,,
1527,app03-ri2-tserv,ri2,app,A1-15621,8/5/2011,,,,,,,
1528,bounce03-ri2,ri2,bounce,A1-23680,9/6/2011,,,was on P1237060389,,,,
1529,ws03-ri2,ri2,ws,P1705405,9/6/2011,,,,,,,
1530,connect03-ri2,ri2,connect,P1705401,9/6/2011,,,,,,,
1531,eventcapture12-ri2,ri2,eventcapture,A1-19353,9/16/2011,,,,,,,
1532,launch61-ri2,ri2,launch HO,A1-23031,7/16/2012,7/16/2012,,,,,,
1533,launch49-ri2,ri2,launch,A1-20823,9/16/2011,,,,,,,
1534,launch46-ri2,ri2,launch,A1-19319,9/16/2011,,,,,,,
1535,launch41-ri2,ri2,launch,A1-19336,9/16/2011,,,,,,,
1536,launch37-ri2,ri2,launch,A1-28886,9/16/2011,,,was on A1-19330,,,,
1537,pubweb31-ri2,ri2,pubweb,A1-19341,9/16/2011,,,,,,,
1538,pubweb23-ri2,ri2,pubweb,A1-19344,9/16/2011,,,,,,,
1539,launch33-ri2,ri2,launch,A1-15643,,,,,,,,
1540,launch30-ri2,ri2,launch,A1-15636,,,,,,,,
1541,apacheui02-ri2,ri2,apacheui,P1705382,,,,,,,,
1542,eventcapture11-ri2,ri2,eventcapture,A1-15677,9/16/2011,,,,,,,
1543,dca01-ri2,ri2,dca,P1705400,5/17/2011,,,,,,,
1544,launch65-ri2,ri2,launch,A1-23030,7/16/2012,7/16/2012,,,Centos,6.2,,
1545,launch15-ri2,ri2,launch,P1705418,,,,,,,,
1546,launch13-ri2,ri2,launch,P1705414,,,,,,,,
1547,launch10-ri2,ri2,launch,P1705419,,,,,,,,
1548,launch07-ri2,ri2,launch,P1705420,,,,,,,,
1549,pubweb18-ri2,ri2,pubweb,A1-15603,,,,,,,,
1550,pubweb10-ri2,ri2,pubweb,P1705403,,,,,,,,
1551,pubweb07-ri2,ri2,pubweb,A1-21768,,,,,,,,
1552,apacheui11-ri2,ri2,apacheui,P1705406,,,,,,,,
1553,apache04-ri2,ri2,apache,P1705398,,,,,,,,
1554,pdu-dc01-203-1/b,ri2,,acbb000039,,,,,,,,
1555,pdu-dc01-203-1/a,ri2,,acan0000186,,,,,,,,
1556,pdu-dc01-203-2/b,ri2,,acbb000148,,,,,,,,
1557,pdu-dc01-203-2/a,ri2,,acan0000770,,,,,,,,
1558,downtime02-ri2,ri2,downtime,P1238100133,,,,,,,,
1559,launch32-ri2,ri2,launch,A1-15646,,,,,,,,
1560,launch29-ri2,ri2,launch,A1-15642,,,,,,,,
1561,launch39-ri2,ri2,launch,A1-19332,9/16/2011,,,,,,,
1562,launch26-ri2,ri2,launch,A1-15647,,,,,,,,
1563,ui03-ri2,ri2,ui,A1-28875,8/26/2013,8/26/2013,,was on P1236110023,,,,
1564,launch51-ri2,ri2,launch,A1-19327,9/16/2011,,,,,,,
1565,launch43-ri2,ri2,launch,A1-19329,9/16/2011,,,,,,,
1566,launch06-ri2,ri2,launch,P1706565,,,,,,,,
1567,sa06-00-ri2,ri2,database,BDF1045529,6/29/2011,,,,,,,
1568,sa04-00-ri2,ri2,database,BCF074700K,,,,,,,,
1569,sa05-00-ri2,ri2,database,BEF1019FB6,,,,,,,,
1570,apacheui07-ri2,ri2,apacheui,A1-17556,11/14/2011,,,,,,,
1571,launch03-ri2,ri2,launch,P1706564,,,,,,,,
1572,pubweb17-ri2,ri2,pubweb,A1-15596,,,,,,,,
1573,pubweb06-ri2,ri2,pubweb,A1-21027,,,,,,,,
1574,pubweb03-ri2,ri2,pubweb,P1704805,,,,was on P1237060395,,,,
1575,pubweb32-ri2,ri2,pubweb,A1-19343,9/16/2011,,,,,,,
1576,apache03-ri2,ri2,apache,P1705387,,,,,,,,
1577,pdu-dc01-202-1/a,ri2,,acan0000180,,,,,,,,
1578,pdu-dc01-202-1/b,ri2,,acbb000048,,,,,,,,
1579,pdu-dc01-202-2/a,ri2,,acan0000176,,,,,,,,
1580,pdu-dc01-202-2/b,ri2,,acbb000049,,,,,,,,
1581,downtime01-ri2,ri2,downtime,P1238100134,,,,,,,,
1582,connect02-ri2,ri2,connect,A1-16282,,,,,,,,
1583,pubweb29-ri2,ri2,pubweb,A1-19346,9/16/2011,,,,,,,
1584,launch62-ri2,ri2,launch,A1-23028,7/16/2012,7/16/2012,,,Centos,6.2,,
1585,launch50-ri2,ri2,launch,A1-19318,9/16/2011,10/4/2013,,was on A1-19324,,,,
1586,admin02-ri2,ri2,admin,A1-26952,9/20/2013,9/20/2013,,was on P1236110016,,,,
1587,tools02-ri2,ri2,tools,A1-24817,,,,,,,,
1588,eventcapture02-ri2,ri2,eventcapture,P1239020057,,,,,,,,
1589,launch25-ri2,ri2,launch,A1-15649,,,,,,,,
1590,ui02-ri2,ri2,ui,A1-28869,8/26/2013,8/26/2013,,was on P1236110011,,,,
1591,launch42-ri2,ri2,launch,A1-19335,9/16/2011,,,,,,,
1592,launch18-ri2,ri2,launch,A1-15640,,,,,,,,
1593,launch05-ri2,ri2,launch,P1706563,,,,,,,,
1594,launch02-ri2,ri2,launch,P1706562,,,,,,,,
1595,pubweb16-ri2,ri2,pubweb,A1-15605,,,,,,,,
1596,pubweb05-ri2,ri2,pubweb,A1-21024,,,,,,,,
1597,pubweb02-ri2,ri2,pubweb,P1236110014,,,,,,,,
1598,ws02-ri2,ri2,ws,A1-23683,10/17/2013,10/17/2013,,was on P1236110034,,,,
1599,apache02-ri2,ri2,apache,P1705388,,,,,,,,
1600,RPS-202,ri2,rps,FDO1231SGUN,,,,,,,,
1601,sa20-00-ri2,ri2,database,BDL1117085,8/30/2011,,,,,,,
1602,reportingdb06-ri2,ri2,ReportingDB,A1-15630,,,,,windows server,2008 enterprise,,
1603,reportingdb04-ri2,ri2,ReportingDB,A1-15628,,,,,windows server,2008 enterprise,,
1604,jms08-ri2,ri2,JMS,BEL08379G2,,,,,,,,
1605,jms07-ri2,ri2,JMS,BDL027528,,,,,,,,
1606,pdu-dc01-215-1/b,ri2,,acbb0000041,5/17/2011,,,,,,,
1607,pdu-dc01-215-1/a,ri2,,acan0000182,5/17/2011,,,,,,,
1608,pdu-dc01-215-2/b,ri2,,acbb0000432,5/17/2011,,,,,,,
1609,pdu-dc01-215-2/a,ri2,,pcan0000700,5/17/2011,,,,,,,
1610,reportingdb05-ri2,ri2,ReportingDB,A1-15629,,,,,windows server,2008 enterprise,,
1611,reportingdb03-ri2,ri2,ReportingDB,A1-15627,,,,,windows server,2008 enterprise,,
1612,reportingdb02-ri2,ri2,ReportingDB,A1-15633,,,,,windows server,2008 enterprise,,
1613,apacheui05-ri2,ri2,apacheui,A1-17555,11/14/2011,,,,,,,
1614,ui04-ri2,ri2,ui,A1-28870,8/26/2013,8/26/2013,,was on P1238100095,,,,
1615,tools03-ri2,ri2,tools,A1-15599,9/6/2011,,,,,,,
1616,pubweb21-ri2,ri2,pubweb,A1-19350,9/16/2011,,,,,,,
1617,app02-ri2-tserv,ri2,app,A1-15598,8/5/2011,,,,,,,
1618,reporting02-ri2,ri2,reporting,A1-15609,9/6/2011,,,"was on A1-16285, failed PSU. sent for RMA",,,,
1619,tools04-ri2,ri2,tools,A1-15600,9/6/2011,,,,,,,
1620,spam02-ri2,ri2,spam,P1236110022,9/6/2011,,,,,,,
1621,apacheui01-ri2,ri2,apacheui,P1705383,9/6/2011,,,,,,,
1622,pdu-dc01-201-1/a,ri2,,acan0000174,,,,,,,,
1623,pdu-dc01-101-1/b,ri2,,ABJL0000167,5/17/2011,,,,,,,
1624,launch64-ri2,ri2,launch,A1-23029,7/16/2012,7/16/2012,,,Centos,6.2,,
1625,launch52-ri2,ri2,launch,A1-19339,9/16/2011,,,,,,,
1626,launch48-ri2,ri2,launch,A1-19333,9/16/2011,,,,,,,
1627,launch44-ri2,ri2,launch,A1-19322,9/16/2011,,,,,,,
1628,pubweb30-ri2,ri2,pubweb,A1-19358,9/16/2011,,,,,,,
1629,pubweb27-ri2,ri2,pubweb,A1-19355,9/16/2011,,,,,,,
1630,launch40-ri2,ri2,launch,A1-19331,9/16/2011,,,,,,,
1631,launch36-ri2,ri2,launch,A1-19328,9/16/2011,,,,,,,
1632,pdu-dc01-207-1/b,ri2,,acbb0000328,,,,,,,,
