index,overwrite,equipSN,equipMake
159,yes,1414NML02F,Oracle Sun
160,yes,1414NML02P,Oracle Sun
161,yes,1414NML02T,Oracle Sun
162,yes,1415NML0WU,Oracle Sun
163,yes,1415NML0WV,Oracle Sun
164,yes,1415NML0WW,Oracle Sun
165,yes,1415NML0WX,Oracle Sun
166,yes,1415NML0WY,Oracle Sun
167,yes,1415NML0X0,Oracle Sun
168,yes,1415NML0X1,Oracle Sun
169,yes,1415NML0X3,Oracle Sun
170,yes,1415NML0X4,Oracle Sun
171,yes,1415NML0X5,Oracle Sun
172,yes,1415NML0X6,Oracle Sun
173,yes,1415NML0X7,Oracle Sun
174,yes,1415NML0X8,Oracle Sun
175,yes,1415NML0X9,Oracle Sun
176,yes,1415NML0XA,Oracle Sun
177,yes,1415NML0XB,Oracle Sun
178,yes,1415NML0XC,Oracle Sun
179,yes,1415NML0XD,Oracle Sun
180,yes,1415NML0XE,Oracle Sun
181,yes,1415NML0XF,Oracle Sun
182,yes,1415NML0XG,Oracle Sun
183,yes,1415NML0XH,Oracle Sun
184,yes,1415NML0XJ,Oracle Sun
185,yes,1415NML0XK,Oracle Sun
186,yes,1415NML0XL,Oracle Sun
187,yes,1415NML0XM,Oracle Sun
188,yes,1415NML0XN,Oracle Sun
189,yes,1415NML0XP,Oracle Sun
190,yes,1415NML0XR,Oracle Sun
191,yes,1415NML0XT,Oracle Sun
192,yes,1415NML0XV,Oracle Sun
193,yes,1415NML0XW,Oracle Sun
194,yes,1415NML0XX,Oracle Sun
195,yes,1415NML0XY,Oracle Sun
196,yes,1415NML0Y0,Oracle Sun
197,yes,1415NML0Y1,Oracle Sun
198,yes,1415NML0Y2,Oracle Sun
199,yes,1415NML0Y3,Oracle Sun
200,yes,1415NML0Y4,Oracle Sun
201,yes,1415NML0Y5,Oracle Sun
202,yes,1415NML0Y6,Oracle Sun
203,yes,1415NML0Y7,Oracle Sun
204,yes,1415NML0Y8,Oracle Sun
205,yes,1415NML0Y9,Oracle Sun
206,yes,1415NML0YA,Oracle Sun
207,yes,1415NML0YB,Oracle Sun
208,yes,1415NML0YC,Oracle Sun
209,yes,1415NML1DF,Oracle Sun
210,yes,1415NML1DG,Oracle Sun
211,yes,1415NML1DH,Oracle Sun
212,yes,1415NML1DJ,Oracle Sun
213,yes,1415NML1DK,Oracle Sun
214,yes,1415NML1DL,Oracle Sun
215,yes,1415NML1DM,Oracle Sun
216,yes,1415NML1DN,Oracle Sun
217,yes,1415NML1DP,Oracle Sun
218,yes,1415NML1DR,Oracle Sun
219,yes,1415NML1DT,Oracle Sun
220,yes,1415NML1DU,Oracle Sun
221,yes,1415NML1DV,Oracle Sun
222,yes,1415NML1DX,Oracle Sun
223,yes,1415NML1DY,Oracle Sun
224,yes,1415NML1E0,Oracle Sun
225,yes,1415NML1E1,Oracle Sun
226,yes,1415NML1E2,Oracle Sun
227,yes,1415NML1E3,Oracle Sun
228,yes,1415NML1E4,Oracle Sun
229,yes,1415NML1E5,Oracle Sun
230,yes,1415NML1E6,Oracle Sun
231,yes,1415NML1E7,Oracle Sun
232,yes,1415NML1E8,Oracle Sun
233,yes,1415NML1E9,Oracle Sun
234,yes,1415NML1EA,Oracle Sun
235,yes,1415NML1EB,Oracle Sun
236,yes,1415NML1EC,Oracle Sun
237,yes,1415NML1ED,Oracle Sun
238,yes,1415NML1EE,Oracle Sun
239,yes,1415NML1EF,Oracle Sun
240,yes,1415NML1EG,Oracle Sun
241,yes,1415NML1EH,Oracle Sun
242,yes,1415NML1EJ,Oracle Sun
243,yes,1415NML1EK,Oracle Sun
244,yes,1415NML1EL,Oracle Sun
245,yes,1415NML1EM,Oracle Sun
246,yes,1415NML1EN,Oracle Sun
247,yes,1415NML1EP,Oracle Sun
248,yes,1415NML1ER,Oracle Sun
249,yes,1415NML1ET,Oracle Sun
250,yes,1415NML1EU,Oracle Sun
251,yes,1415NML1EV,Oracle Sun
252,yes,1415NML1EW,Oracle Sun
253,yes,1415NML1EX,Oracle Sun
254,yes,1415NML1F0,Oracle Sun
255,yes,1415NML1F1,Oracle Sun
256,yes,1415NMLOXU,Oracle Sun
257,yes,1416NM50CT,Oracle Sun
258,yes,1416NM50E7,Oracle Sun
259,yes,1416NML0Y0,Oracle Sun
260,yes,1416NML0Y1,Oracle Sun
261,yes,1417NM502F,Oracle Sun
262,yes,1417NM502V,Oracle Sun
263,yes,1417NM50C1,Oracle Sun
264,yes,1417NM50CA,Oracle Sun
265,yes,1417NM50CL,Oracle Sun
266,yes,1417NM50CP,Oracle Sun
267,yes,1417NM50CV,Oracle Sun
268,yes,1417NM50CW,Oracle Sun
269,yes,1417NM50D8,Oracle Sun
270,yes,1417NM50DB,Oracle Sun
271,yes,1417NM50DC,Oracle Sun
272,yes,1417NM50DD,Oracle Sun
273,yes,1417NM50F1,Oracle Sun
274,yes,1418NML01W,Oracle Sun
275,yes,1420NM50BR,Oracle Sun
276,yes,1420NM50FP,Oracle Sun
277,yes,1421NM50B9,Oracle Sun
278,yes,1421NM50D8,Oracle Sun
279,yes,1421NM50DR,Oracle Sun
280,yes,1421NML087,Oracle Sun
281,yes,1421NML0FD,Oracle Sun
282,yes,1423NM500H,Oracle Sun
283,yes,1423NM500L,Oracle Sun
284,yes,1423NM5024,Oracle Sun
285,yes,1423NML02W,Oracle Sun
286,yes,1423NML02X,Oracle Sun
287,yes,1423NML040,Oracle Sun
288,yes,1423NML0AA,Oracle Sun
289,yes,1423NML0AW,Oracle Sun
290,yes,1424NM5023,Oracle Sun
291,yes,1424NM5026,Oracle Sun
292,yes,1424NM503A,Oracle Sun
293,yes,1424NM5041,Oracle Sun
294,yes,1424NML06P,Oracle Sun
295,yes,1424NML09A,Oracle Sun
296,yes,1424NML0HJ,Oracle Sun
297,yes,1425NML004,Oracle Sun
298,yes,1426NML08V,Oracle Sun
299,yes,1426NML08W,Oracle Sun
300,yes,1426NML090,Oracle Sun
301,yes,1426NML0EB,Oracle Sun
302,yes,1431NML0AB,Oracle Sun
303,yes,1431NML0AC,Oracle Sun
304,yes,1431NML0AD,Oracle Sun
305,yes,1431NML0AE,Oracle Sun
306,yes,1431NML0AF,Oracle Sun
307,yes,1431NML0AG,Oracle Sun
308,yes,1431NML0AH,Oracle Sun
309,yes,1431NML0AJ,Oracle Sun
310,yes,1431NML0AK,Oracle Sun
311,yes,1431NML0AL,Oracle Sun
312,yes,1431NML0AM,Oracle Sun
313,yes,1431NML0AN,Oracle Sun
314,yes,1431NML0AP,Oracle Sun
315,yes,1431NML0AR,Oracle Sun
316,yes,1431NML0AT,Oracle Sun
317,yes,1431NML0AU,Oracle Sun
318,yes,1431NML0AV,Oracle Sun
319,yes,1431NML0AW,Oracle Sun
320,yes,1431NML0AX,Oracle Sun
321,yes,1431NML0AY,Oracle Sun
322,yes,1431NML0B0,Oracle Sun
323,yes,1431NML0B1,Oracle Sun
324,yes,1431NML0DN,Oracle Sun
325,yes,1431NML0DP,Oracle Sun
326,yes,1431NML0MN,Oracle Sun
327,yes,1431NML0MP,Oracle Sun
328,yes,1431NML0MR,Oracle Sun
329,yes,1431NML0MT,Oracle Sun
330,yes,1431NML0MU,Oracle Sun
331,yes,1431NML0MV,Oracle Sun
332,yes,1431NML0MW,Oracle Sun
333,yes,1431NML0MX,Oracle Sun
334,yes,1431NML0MY,Oracle Sun
335,yes,1431NML0N0,Oracle Sun
336,yes,1431NML0N1,Oracle Sun
337,yes,1431NML0N2,Oracle Sun
338,yes,1431NML0N3,Oracle Sun
339,yes,1431NML0N4,Oracle Sun
340,yes,1431NML0N5,Oracle Sun
341,yes,1431NML0N6,Oracle Sun
342,yes,1431NML0N7,Oracle Sun
343,yes,1431NML0N8,Oracle Sun
344,yes,1431NML0N9,Oracle Sun
345,yes,1431NML0NA,Oracle Sun
346,yes,1431NML0NB,Oracle Sun
347,yes,1431NML0NC,Oracle Sun
348,yes,1431NML0ND,Oracle Sun
349,yes,1431NML0NE,Oracle Sun
350,yes,1431NML0NF,Oracle Sun
351,yes,1431NML0NG,Oracle Sun
352,yes,1431NML0NH,Oracle Sun
353,yes,1431NML0NJ,Oracle Sun
354,yes,1431NML0NK,Oracle Sun
355,yes,1431NML0NL,Oracle Sun
356,yes,1431NML0NM,Oracle Sun
357,yes,1431NML0NN,Oracle Sun
358,yes,1431NML0NP,Oracle Sun
359,yes,1431NML0NR,Oracle Sun
360,yes,1431NML0NT,Oracle Sun
361,yes,1431NML0NU,Oracle Sun
362,yes,1431NML0NV,Oracle Sun
363,yes,1431NML0NW,Oracle Sun
364,yes,1431NML0NX,Oracle Sun
365,yes,1431NML0NY,Oracle Sun
366,yes,1431NML0P0,Oracle Sun
367,yes,1431NML0P1,Oracle Sun
368,yes,1431NML0P2,Oracle Sun
369,yes,1431NML0P3,Oracle Sun
370,yes,1431NML0P4,Oracle Sun
371,yes,1431NML0P5,Oracle Sun
372,yes,1431NML0P6,Oracle Sun
373,yes,1431NML0P7,Oracle Sun
374,yes,1431NML0P8,Oracle Sun
375,yes,1431NML0P9,Oracle Sun
376,yes,1431NML0PA,Oracle Sun
377,yes,1431NML0PB,Oracle Sun
378,yes,1431NML0PC,Oracle Sun
379,yes,1431NML0PD,Oracle Sun
380,yes,1431NML0PE,Oracle Sun
381,yes,1431NML0PF,Oracle Sun
382,yes,1431NML0PG,Oracle Sun
383,yes,1431NML0PH,Oracle Sun
384,yes,1431NML0PJ,Oracle Sun
385,yes,1431NML0PK,Oracle Sun
386,yes,1431NML0PL,Oracle Sun
387,yes,1431NML0PM,Oracle Sun
388,yes,1431NML0PN,Oracle Sun
389,yes,1431NML0PP,Oracle Sun
390,yes,1431NML0PR,Oracle Sun
391,yes,1431NML0PT,Oracle Sun
392,yes,1431NML0PU,Oracle Sun
393,yes,1431NML0PV,Oracle Sun
394,yes,1431NML0PW,Oracle Sun
395,yes,1431NML0PX,Oracle Sun
396,yes,1431NML0PY,Oracle Sun
397,yes,1431NML0R0,Oracle Sun
398,yes,1431NML0R1,Oracle Sun
